"collocation","count","count_nested","length","lambda","z"
"hillari clinton",301,0,2,7.01521982904235,70.9644964295348
"crook hillari",336,0,2,8.47225776454018,61.1094586683473
"beat hillari",51,0,2,5.33441172956078,32.1627893517688
"clinton campaign",29,0,2,3.87842034096358,19.9340364119279
"clinton foundat",16,0,2,5.86715965064362,19.7172095601405
"clinton email",11,0,2,4.6984105430974,14.8134197845523
"hillari dnc",11,0,2,4.29141345373331,13.5483494230562
"clinton frame",6,0,2,6.21551414551204,12.4059549429951
"clinton delet",6,0,2,4.99729717728212,11.6518305850399
"hillari clinton’",11,0,2,7.78811164639216,11.1462727966051
"clinton dnc",7,0,2,4.25159163636613,11.0956172510996
"crookedhillari qualifi",2,0,2,7.37961217461864,10.659318037942
"hypocrit hillaryclinton",2,0,2,7.16371005916345,10.3544894717582
"clear hillari",7,0,2,3.83302459549974,10.0485568009035
"clinton’ top",3,0,2,5.88646260402911,9.76884779835735
"clinton’ email",2,0,2,6.64250773395694,9.59213237175553
"vs hillaryclinton",2,0,2,6.23035753141367,9.35042669753703
"beat hillaryclinton",3,0,2,5.09290347580978,9.10707592692545
"hillari said",14,0,2,2.37653987090759,8.87936102842576
"hilari clinton",3,0,2,5.20507994954601,8.77124164909458
"hillari dem",10,0,2,2.581715021934,8.20958867814483
"hillari easili",5,0,2,3.55854480168206,8.05169815926875
"clinton qualifi",3,0,2,4.55765651597389,8.03769680484843
"hillari email",5,0,2,3.44278501824977,7.81665323242496
"clinton betray",2,0,2,5.58881186056582,7.63911066420754
"clinton unfit",2,0,2,5.58881186056582,7.63911066420754
"led clinton",3,0,2,4.12813621188433,7.41894887236696
"clinton lynch",2,0,2,5.07797433138596,7.31486575427927
"gave hillari",6,0,2,2.9247338365407,7.30630551756432
"beat clinton",5,0,2,3.12066145381829,7.18127666081589
"urg clinton",2,0,2,4.80416558845221,7.06398711997622
"clinton investig",5,0,2,3.06231171691145,7.05217983002
"hillari e-mail",3,0,2,3.90748089040717,6.96930685382593
"hillari delet",3,0,2,3.85413014397886,6.88976602436208
"clinton probe",2,0,2,4.63327184230697,6.88248690269338
"bush clinton",5,0,2,2.94377777223189,6.78907166109207
"hillari berni",4,0,2,3.27421873500259,6.75761415124742
"clinton democrat",10,0,2,2.10427981366043,6.71703040425284
"hillari flunki",2,0,2,4.56444993901178,6.62062753679217
"clinton advanc",2,0,2,4.36499356879042,6.57205447176419
"clinton camp",2,0,2,4.32652490678914,6.52508893041726
"moder hillari",2,0,2,4.3372606043362,6.42712274992252
"hillaryclinton lose",2,0,2,4.16551863633142,6.42568476898165
"hillari podesta",2,0,2,4.36377209534835,6.42117511921344
"clinton puppet",2,0,2,4.0921075325771,6.22764935276652
"judgement hillari",2,0,2,4.14150649769421,6.20283935914496
"hillaryclinton allow",2,0,2,4.01738021529538,6.20093608883215
"crook hillaryclinton",2,0,2,4.01740137594383,6.16990953949435
"hillaryclinton white",2,0,2,3.94035966805986,6.08377087182847
"clinton weak",4,0,2,2.82652656080587,5.90909698139131
"unlik clinton",2,0,2,3.81197010693191,5.85148337420599
"vs clinton",2,0,2,3.81197010693191,5.85148337420599
"clinton team",4,0,2,2.78093676928025,5.8164276804307
"hillari advis",2,0,2,3.78271123677979,5.73443550765969
"compar hillari",2,0,2,3.74345016143661,5.70074742766682
"clinton draintheswamp",2,0,2,3.68163915363518,5.6693322737276
"clinton insid",2,0,2,3.56935756378755,5.5101859256511
"hillari lie",6,0,2,2.1826165617191,5.49599247241752
"clinton sale",2,0,2,3.51761474532353,5.43609166317616
"hillari clinton-",3,0,2,8.19802611068626,5.42101523139376
"clinton campaign’",2,0,2,8.29687872900932,5.35347947601216
"clinton foundation’",2,0,2,8.29687872900932,5.35347947601216
"vs hillari",2,0,2,3.45948020377168,5.31396433266123
"clinton aid",2,0,2,3.42152662695113,5.29734551646386
"destroy hillari",4,0,2,2.51477048290544,5.26176901861338
"hurt hillari",3,0,2,2.86082391345104,5.25938574432786
"lyin hillari",2,0,2,3.35298481072229,5.16422889547404
"pro-crook hillari",2,0,2,7.94822139867816,5.12911142353169
"clinton want",9,0,2,1.68370605321819,5.12569941523793
"notic hillari",2,0,2,3.31337090752873,5.10797140310759
"hillari barack",2,0,2,3.30632889747563,5.08792237599133
"clinton strength",2,0,2,3.20293564626,4.97682442098164
"russia clinton",4,0,2,2.36503325937397,4.96306453629583
"dnc clinton",2,0,2,3.18251979051977,4.94681320595512
"hillari say",9,0,2,1.61739405294236,4.93235346593932
