Event ID	Event Date	Event Type	Event Mode	Event Intensity	Quad Code	Contexts	Actor Name	Actor Country	Actor COW	Primary Actor Sector	Actor Sectors	Actor Title	Actor Name Raw	Wikipedia Actor ID	Recipient Name	Recipient Country	Recipient COW	Primary Recipient Sector	Recipient Sectors	Recipient Title	Recipient Name Raw	Wikipedia Recipient ID	Placename	City	District	Province	Country	Latitude	Longitude	GeoNames ID	Raw Placename	Feature Type	Source	Publication Date	Story People	Story Organizations	Story Locations	Language	Version
20230925-7343-e2fe507dfee3_PROTEST_boycott	2023-09-25	PROTEST	boycott	-4.50	MATERIAL CONFLICT	None	None; None	Israel; United States	666; 2	CVL; CVL	CVL | OPP; CVL | OPP	protesters; protesters	Israeli demonstrators; American demonstrators	None; None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	United States	None	Asharq Alawsat	2023-09-25	Benjamin Netanyahu | Elon Musk | Joe Biden | Netanyahu 	Tesla 	State of Israel | United States 	Arabic	NGEC_coder-Vers001-b1-Run-001
20230925-7745-eca624f1591b_THREATEN_territory	2023-09-25	THREATEN	territory	-4.00	VERBAL CONFLICT	None	None	Russia	365	None	None	None	Russia	None	None	Kosovo	None	GOV	GOV	government	Kosovo government	None	None	None	None	None	None	None	None	None	near the Serbian border	None	National News Agency Lebanon	2023-09-25	Albin Kurti 	The Russian Foreign Ministry | Agence France - Presse 	Russian Federation | Republic of Kosovo 	Arabic	NGEC_coder-Vers001-b1-Run-001
20230925-7992-b4802c0c2d29_ACCUSE_disapprove	2023-09-25	ACCUSE	disapprove	-2.00	VERBAL CONFLICT	migration 	Sikhs	Canada	20	REL	REL	religion	Canadian Sikh group	Sikhs	None	India	750	None	None	None	Indian	None	Toronto	Toronto	None	Ontario	CAN	43.70011	-79.4163	6167865	Toronto	PPLA	Reuters News	2023-09-25	Trudeau | Justin Trudeau | Jatinder Singh Grewal | Hardeep Singh Nijjar | Nijjar 	Sikh for Justice in Canada | Reuters 	Ottawa | Toronto | Vancouver | Surrey | Cholistan | Republic of India | Canada | New Delhi | British Columbia 	English	NGEC_coder-Vers001-b1-Run-001
20230925-7992-b4802c0c2d29_ACCUSE_investigate	2023-09-25	ACCUSE	investigate	-3.50	VERBAL CONFLICT	migration 	None	Canada	20	None	None	None	Canada	None	None	India	750	COP	COP	law enforcement agents	Indian government agents	None	Toronto	Toronto	None	Ontario	CAN	43.70011	-79.4163	6167865	Toronto	PPLA	Reuters News	2023-09-25	Trudeau | Justin Trudeau | Jatinder Singh Grewal | Hardeep Singh Nijjar | Nijjar 	Sikh for Justice in Canada | Reuters 	Ottawa | Toronto | Vancouver | Surrey | Cholistan | Republic of India | Canada | New Delhi | British Columbia 	English	NGEC_coder-Vers001-b1-Run-001
20230925-7992-b4802c0c2d29_ACCUSE_allege	2023-09-25	ACCUSE	allege	-3.50	VERBAL CONFLICT	migration 	Sikhs	Canada	20	REL	REL	religion	Canadian Sikh group	Sikhs	None	India	750	COP	COP	law enforcement agents	Indian government agents	None	Toronto	Toronto	None	Ontario	CAN	43.70011	-79.4163	6167865	Toronto	PPLA	Reuters News	2023-09-25	Trudeau | Justin Trudeau | Jatinder Singh Grewal | Hardeep Singh Nijjar | Nijjar 	Sikh for Justice in Canada | Reuters 	Ottawa | Toronto | Vancouver | Surrey | Cholistan | Republic of India | Canada | New Delhi | British Columbia 	English	NGEC_coder-Vers001-b1-Run-001
20230925-7992-b4802c0c2d29_PROTEST	2023-09-25	PROTEST	None	-5.00	MATERIAL CONFLICT	migration 	Sikhs	Canada	20	REL	REL	religion	Canadian Sikh group	Sikhs	None	India	750	GOV	GOV	diplomatic building	Indian diplomatic mission	None	Toronto	Toronto	None	Ontario	CAN	43.70011	-79.4163	6167865	Toronto	PPLA	Reuters News	2023-09-25	Trudeau | Justin Trudeau | Jatinder Singh Grewal | Hardeep Singh Nijjar | Nijjar 	Sikh for Justice in Canada | Reuters 	Ottawa | Toronto | Vancouver | Surrey | Cholistan | Republic of India | Canada | New Delhi | British Columbia 	English	NGEC_coder-Vers001-b1-Run-001
20230926-8198-b4ae3faf6f80_AID	2023-09-26	AID	NA	10.00	MATERIAL COOPERATION	economic 	Tsai Ing-wen	Taiwan	None	GOV	GOV	president	Tsai Ing - wen	Tsai Ing-wen	None; None	None; None	None; None	None; None	None; None	None; None	rescue teams; search teams	None; None	None	None	None	None	None	None	None	None		None	Taipei Times	2023-09-26	Tsai | Tsai Ing - wen 	the World Taiwanese Chambers of Commerce 	Syrian Arab Republic | Taiwan | Republic of Turkey | Ukraine | United States 	English	NGEC_coder-Vers001-b1-Run-001
20230925-8617-8c77de64fc1c_THREATEN_arrest	2023-09-25	THREATEN	arrest	-3.50	VERBAL CONFLICT	None	Mark Rowley; None	United Kingdom; None	200; None	COP; GOV	COP; GOV	police commissioner; State Ministers	Sir Mark Rowley; ministers	Mark Rowley; None	Czech Pirate Party	Czechia	316	PTY	PTY	political party	CPS	Czech Pirate Party	None	None	None	None	None	None	None	None		None	The Guardian	2023-09-25	Mark Rowley 	CPS 	None	English	NGEC_coder-Vers001-b1-Run-001
20230925-8835-e51a292203cc_ACCUSE_investigate	2023-09-25	ACCUSE	investigate	-3.50	VERBAL CONFLICT	rights_freedoms 	Gitanas Nausėda	Lithuania	368	GOV	GOV	president	Gitanas Nausėda	Gitanas Nausėda	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None		None	Lithuanian News Agency - ELTA	2023-09-25	Morawiecki | Gitanas Nausėda | Andrzej Duda 	the UN General Assembly | EU 	Kyiv | Republic of Poland | Russian Federation | Warsaw | Ukraine 	English	NGEC_coder-Vers001-b1-Run-001
20230925-8835-e51a292203cc_ACCUSE_allege	2023-09-25	ACCUSE	allege	-3.50	VERBAL CONFLICT	rights_freedoms 	Gitanas Nausėda	Lithuania	368	GOV	GOV	president	Gitanas Nausėda	Gitanas Nausėda	None; None	Poland; Ukraine	290; 369	None; None	None; None	None; None	Poland; Ukraine	None; None	None	None	None	None	None	None	None	None	UN General Assembly	None	Lithuanian News Agency - ELTA	2023-09-25	Morawiecki | Gitanas Nausėda | Andrzej Duda 	the UN General Assembly | EU 	Kyiv | Republic of Poland | Russian Federation | Warsaw | Ukraine 	English	NGEC_coder-Vers001-b1-Run-001
