id,label_true,label_assigned
id33333334,politics,economy
id34847143,human_interest,economy
id35222578,economy,human_interest
id36325222,politics,human_interest
id3695654,economy,politics
id37828973,economy,economy
id38173592,politics,politics
id38849595,economy,economy
id39831316,economy,human_interest
id39865428,politics,human_interest
id41360208,politics,politics
id41505933,human_interest,human_interest
id41938573,politics,politics
id42175657,politics,human_interest
id4265819,economy,economy
id4294259,economy,economy
id43117422,human_interest,politics
id43385714,human_interest,politics
id43780914,human_interest,human_interest
id44778982,politics,economy
id45935512,human_interest,economy
id45948404,politics,human_interest
id4596025,politics,politics
id4601135,economy,economy
id46648252,human_interest,human_interest
id47199318,economy,politics
id47789547,politics,politics
id47873488,human_interest,politics
id48062265,politics,human_interest
id48261043,politics,politics
id48621324,human_interest,politics
id48826513,politics,politics
id48961878,politics,economy
id49316776,economy,economy
id4934729,human_interest,human_interest
id49450442,economy,human_interest
id49929973,human_interest,politics
id49987462,human_interest,politics
id50007653,economy,economy
id50222856,economy,politics
id50331795,human_interest,economy
id50643116,politics,economy
id506635,economy,economy
id5079348,human_interest,politics
id5089501,politics,politics
id5101215,politics,economy
id51116824,human_interest,economy
id5137213,human_interest,politics
id52202594,human_interest,politics
id5232454,politics,economy
id5232756,economy,politics
id5252068,economy,economy
id5299089,economy,politics
id53050417,economy,economy
id5322523,economy,economy
id53290844,economy,politics
id539396,politics,politics
id5403152,human_interest,economy
id54033464,human_interest,politics
id54364765,politics,economy
id5454428,economy,economy
id54996145,economy,politics
id5505276,economy,economy
id55075514,economy,economy
id5522973,economy,politics
id555811,economy,economy
id5579478,politics,economy
id5612384,human_interest,politics
id5668056,politics,economy
id5680748,economy,economy
id5701533,politics,human_interest
id57275575,human_interest,economy
id5757597,human_interest,human_interest
id57708377,politics,politics
id57896465,politics,politics
id5795191,politics,politics
id58004326,politics,politics
id5811666,human_interest,politics
id581846,politics,human_interest
id5829695,economy,politics
id5864305,human_interest,politics
id58726346,politics,politics
id5936221,politics,politics
id5942078,politics,economy
id59775776,politics,politics
id5987107,politics,politics
id60032606,economy,economy
id60142386,politics,politics
id60378677,human_interest,politics
id60649055,human_interest,politics
id60662013,politics,economy
id6083127,human_interest,politics
id61222166,human_interest,politics
id6126744,politics,politics
id6130868,politics,politics
id61355305,economy,economy
id61368316,economy,politics
id6153524,economy,economy
id6171961,economy,economy
id6172424,politics,economy
id61728644,politics,politics
id6187388,politics,human_interest
id62061876,politics,economy
id62100637,human_interest,economy
id62325245,human_interest,politics
id6241152,economy,economy
id6258456,politics,economy
id62615377,politics,politics
id6402507,politics,politics
id6419374,economy,economy
id6482374,human_interest,politics
id6587369,politics,politics
id6615413,human_interest,politics
id6615906,economy,economy
id66434306,politics,politics
id6677481,economy,economy
id6706349,economy,economy
id6761209,politics,economy
id67798555,human_interest,politics
id6790956,politics,economy
id6865311,politics,politics
id6879005,human_interest,politics
id69036686,economy,politics
id69643027,politics,politics
id7027611,politics,politics
id71225244,human_interest,economy
id71626884,economy,economy
id71696573,human_interest,politics
id7202776,human_interest,politics
id72059566,human_interest,politics
id72533745,economy,economy
id72771245,politics,politics
id72776544,politics,politics
id73464006,politics,human_interest
id7366478,politics,politics
id7395132,economy,politics
id7396246,economy,economy
id7401514,politics,politics
id7403537,politics,politics
id7412857,politics,politics
id74210685,human_interest,politics
id74262995,politics,human_interest
id74667954,human_interest,human_interest
id7484592,human_interest,politics
id7500627,economy,economy
id75234705,human_interest,human_interest
id75353163,economy,economy
id75557214,politics,politics
id7638674,economy,economy
id7654839,economy,politics
id7658023,politics,politics
id76892537,economy,politics
id76931643,politics,politics
id7696096,economy,economy
id771573,politics,politics
id7734047,economy,economy
id7746264,politics,economy
id7755644,politics,politics
id7781217,economy,economy
id78220826,economy,politics
id7822887,politics,politics
id78241223,economy,economy
id7826618,economy,economy
id78300494,politics,politics
id7865131,economy,politics
id7868671,economy,economy
id7886889,economy,economy
id7892403,economy,economy
id78976995,economy,economy
id7900035,human_interest,politics
id79114443,human_interest,politics
id79159945,human_interest,human_interest
id7920035,politics,politics
id7925309,economy,economy
id79602164,politics,economy
id7969076,human_interest,politics
id79739594,human_interest,human_interest
id7984406,politics,politics
id80082506,economy,economy
id80096924,economy,economy
id8044783,economy,politics
id8048013,politics,politics
id8052338,human_interest,human_interest
id8081697,human_interest,politics
id80859506,economy,politics
id8110232,economy,economy
id8119346,human_interest,politics
id8134683,politics,politics
id8136599,economy,economy
id81464934,human_interest,politics
id8151429,human_interest,human_interest
id8157938,economy,economy
id81831056,economy,politics
id8193438,human_interest,politics
id8200619,human_interest,human_interest
id82151276,economy,economy
id82174283,economy,economy
id8222423,economy,economy
id8265052,politics,human_interest
id82811844,economy,economy
id8295268,politics,economy
id82980824,politics,politics
id83029443,human_interest,human_interest
id8320369,human_interest,politics
id8338434,politics,politics
id8367596,politics,politics
id8380213,politics,economy
id83820677,economy,economy
id8406552,economy,politics
id8435936,economy,human_interest
id8438706,economy,economy
id84495395,politics,economy
id8462349,politics,economy
id8463637,human_interest,human_interest
id8487285,economy,economy
id8494858,politics,politics
id85031426,politics,politics
id8511138,economy,economy
id8542184,human_interest,human_interest
id855362,politics,human_interest
id8554715,politics,economy
id8556445,economy,economy
id85660845,economy,economy
id8577514,human_interest,politics
id8592502,politics,politics
id86079204,economy,economy
id86113465,human_interest,politics
id86120695,politics,politics
id8612459,economy,economy
id8622672,human_interest,human_interest
id8626641,politics,politics
id8631882,economy,economy
id8648506,economy,economy
