"item_title"	"item_link"
"Russian court extends detention of US journalist Alsu Kurmasheva"	"https://www.aljazeera.com/news/2023/10/23/russian-court-extends-detention-of-us-journalist-alsu-kurmasheva?traffic_source=rss"
"Former India cricket captain Bishan Singh Bedi dies aged 77"	"https://www.aljazeera.com/sports/2023/10/23/india-crickete-captain-spinner-bishan-singh-bedi-dies?traffic_source=rss"
"India drives cricket’s Olympic inclusion, but minnows hope to hitch a ride"	"https://www.aljazeera.com/sports/2023/10/23/india-cricket-la-2028-olympics-inclusion-minnows-game-changer?traffic_source=rss"
"China denies role in suspected sabotage of Finland-Estonia gas link"	"https://www.aljazeera.com/news/2023/10/23/china-calls-for-fair-and-professional-investigation-into-pipeline-blast?traffic_source=rss"
"Death on duty: State negligence leads to exodus of Nigerian doctors"	"https://www.aljazeera.com/features/2023/10/23/death-on-duty-nigerian-doctors-blame-continued-exodus-on-state-negligence?traffic_source=rss"
"China, Philippines escalate rhetoric in South China Sea collision row"	"https://www.aljazeera.com/news/2023/10/23/china-philippines-escalate-rhetoric-in-south-china-sea-collision-row?traffic_source=rss"
"US ‘urges delay’ in ground invasion as Israel continues to pound Gaza"	"https://www.aljazeera.com/news/2023/10/23/israel-kills-dozens-in-gaza-us-reportedly-seeks-ground-invasion-delay?traffic_source=rss"
"400 people killed in a single day by Israeli attacks in Gaza"	"https://www.aljazeera.com/program/newsfeed/2023/10/23/400-people-killed-in-a-single-day-by-israeli-attacks-in-gaza?traffic_source=rss"
"Where are Gaza’s neighbourhoods destroyed by Israel?"	"https://www.aljazeera.com/news/2023/10/23/where-are-gazas-neighbourhoods-destroyed-by-israel?traffic_source=rss"
"Israel-Hamas war: Which countries have sent aid to Gaza so far?"	"https://www.aljazeera.com/news/2023/10/23/which-countries-have-sent-aid-to-gaza-so-far?traffic_source=rss"
"Venezuela: Machado claims victory in presidential primary vote"	"https://www.aljazeera.com/news/2023/10/23/venezeulas-machado-wins-landslide-victory-in-primary-vote?traffic_source=rss"
"EU’s foreign policy chief Borrell backs pause in Israel-Hamas war"	"https://www.aljazeera.com/news/2023/10/23/eus-foreign-policy-chief-borrell-backs-pause-in-israel-hamas-war?traffic_source=rss"
"Pakistan indicts former PM Imran Khan for leaking state secrets"	"https://www.aljazeera.com/news/2023/10/23/pakistans-imran-khan-indicted-for-leaking-state-secrets?traffic_source=rss"
"Israeli raids in occupied West Bank kill two, hundreds arrested"	"https://www.aljazeera.com/news/2023/10/23/two-killed-dozens-arrested-after-israel-raids-occupied-west-bank?traffic_source=rss"
"It’s a time for choosing"	"https://www.aljazeera.com/opinions/2023/10/23/its-a-time-for-choosing?traffic_source=rss"
"Israel-Hamas war: List of key events, day 17"	"https://www.aljazeera.com/news/2023/10/23/israel-hamas-war-list-of-key-events-day-17?traffic_source=rss"
"US police rule out anti-Semitism in murder of synagogue head"	"https://www.aljazeera.com/news/2023/10/23/us-police-rule-out-anti-semitism-in-murder-of-synagogue-head?traffic_source=rss"
"‘Beautiful solidarity’: Cooking for displaced Palestinians in southern Gaza"	"https://www.aljazeera.com/features/2023/10/23/beautiful-solidarity-cooking-for-displaced-palestinians-in-southern-gaza?traffic_source=rss"
"Prabowo picks Jokowi’s son as running mate in Indonesia presidential bid"	"https://www.aljazeera.com/news/2023/10/23/prabowo-picks-jokowis-son-as-running-mate-in-indonesia-presidential-bid?traffic_source=rss"
"China detained employee of Japanese trading firm, report says"	"https://www.aljazeera.com/economy/2023/10/23/china-detained-employee-of-japanese-trading-firm-report-says?traffic_source=rss"
"Foxconn shares slide after report says China probing taxes, land use"	"https://www.aljazeera.com/economy/2023/10/23/foxconn-shares-slide-after-report-says-china-probing-taxes-land-use?traffic_source=rss"
"Philippines calls on China to stop ‘provocative actions’ at sea"	"https://www.aljazeera.com/news/2023/10/23/philippines-calls-on-china-to-stop-provocative-actions-at-sea?traffic_source=rss"
"China urges Gaza ceasefire, willing to do whatever needed to end violence"	"https://www.aljazeera.com/news/2023/10/23/china-urges-gaza-ceasefire-willing-to-do-whatever-needed-to-end-violence?traffic_source=rss"
"Argentina heads to run-off as Massa beats Milei in first round"	"https://www.aljazeera.com/news/2023/10/23/argentina-heads-to-runoff-as-economy-minister-leads-far-right-outsider?traffic_source=rss"
"Indonesia’s TikTok Shop ban reveals mixed feelings on e-commerce revolution"	"https://www.aljazeera.com/news/2023/10/23/indonesias-tiktok-shop-ban-shows-mixed-feelings-on-e-commerce-revolution?traffic_source=rss"
