"item_title"	"item_link"
"Trump pleads not guilty to 34 felony counts"	"https://edition.cnn.com/webview/politics/live-news/trump-indictment-stormy-daniels-news-04-03-23/index.html"
"Haberman reveals why Trump attacked judge and his family in speech"	"https://www.cnn.com/videos/politics/2023/04/05/maggie-haberman-donald-trump-speech-indictment-reaction-sot-cnntm-vpx.cnn"
"What to know about the Trump indictment on the eve of his court appearance"	"https://www.cnn.com/collections/intl-trump-040223/"
"READ: Trump indictment related to hush money payment"	"https://cnn.it/411KYN7"
"Russian authorities detain suspect over St. Petersburg cafe blast"	"https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html"
"Video shows moment of deadly explosion at cafe in Russia"	"https://www.cnn.com/videos/world/2023/04/02/russian-military-blogger-vladlen-tatarsky-killed-cafe-explosion-chance-vpx.cnn"
"Wall Street Journal reporter Evan Gershkovich appeals against arrest, Russian state media says"	"https://www.cnn.com/collections/intl-ukraine-030423/"
"Suspected Chinese spy balloon was able to transmit information back to Beijing"	"https://www.cnn.com/2023/04/03/politics/chinese-spy-balloon/index.html"
"Beijing promised to 'fight back' over Taiwan leader's US visit. But this time it has more to lose"	"https://www.cnn.com/2023/04/04/asia/tsai-ing-wen-taiwan-mccarthy-meeting-analysis-intl-hnk/index.html"
"'Scary, cold, hungry and lonely': Volunteer soldier shares experience on front line"	"https://www.cnn.com/videos/world/2023/04/03/soldiers-russia-ukraine-war-david-mckenzie-pkg-ovn-intl-ldn-vpx.cnn"
"The four astronauts NASA picked for the first crewed moon mission in 50 years"	"https://www.cnn.com/2023/04/03/world/artemis-2-astronaut-crew-scn/index.html"
"French minister under fire for Playboy magazine cover"	"https://www.cnn.com/2023/04/02/europe/french-minister-playboy-cover-intl/index.html"
"Why did Finland's PM lose? Reporter explains the key issue voters cared about"	"https://www.cnn.com/videos/world/2023/04/03/finland-prime-minister-sanna-marin-concedes-election-right-wing-party-wins-ovn-intl-ldn-vpx.cnn"
