A_RES_ES_10_21	un_country_name
Y	AFGHANISTAN
A	ALBANIA
Y	ALGERIA
Y	ANDORRA
Y	ANGOLA
Y	ANTIGUA AND BARBUDA
Y	ARGENTINA
Y	ARMENIA
A	AUSTRALIA
N	AUSTRIA
Y	AZERBAIJAN
Y	BAHAMAS
Y	BAHRAIN
Y	BANGLADESH
Y	BARBADOS
Y	BELARUS
Y	BELGIUM
Y	BELIZE
NV	BENIN
Y	BHUTAN
Y	BOLIVIA (PLURINATIONAL STATE OF) 
Y	BOSNIA AND HERZEGOVINA
Y	BOTSWANA
Y	BRAZIL
Y	BRUNEI DARUSSALAM 
A	BULGARIA
NV	BURKINA FASO 
NV	BURUNDI
A	CABO VERDE 
NV	CAMBODIA
A	CAMEROON
A	CANADA
Y	CENTRAL AFRICAN REPUBLIC
Y	CHAD
Y	CHILE
Y	CHINA
Y	COLOMBIA
Y	COMOROS
Y	CONGO
Y	COSTA RICA 
Y	COTE DIVOIRE 
N	CROATIA
Y	CUBA
A	CYPRUS
N	CZECHIA
Y	DEMOCRATIC PEOPLES REPUBLIC OF KOREA
Y	DEMOCRATIC REPUBLIC OF THE CONGO
A	DENMARK
Y	DJIBOUTI
Y	DOMINICA
Y	DOMINICAN REPUBLIC 
Y	ECUADOR
Y	EGYPT
Y	EL SALVADOR 
Y	EQUATORIAL GUINEA 
Y	ERITREA
A	ESTONIA
NV	ESWATINI
A	ETHIOPIA
N	FIJI
A	FINLAND
Y	FRANCE
Y	GABON
Y	GAMBIA
A	GEORGIA
A	GERMANY
Y	GHANA
A	GREECE
Y	GRENADA
N	GUATEMALA
Y	GUINEA
Y	GUINEA-BISSAU
Y	GUYANA
A	HAITI
Y	HONDURAS
N	HUNGARY
A	ICELAND
A	INDIA
Y	INDONESIA
Y	IRAN (ISLAMIC REPUBLIC OF) 
A	IRAQ
Y	IRELAND
N	ISRAEL
A	ITALY
NV	JAMAICA
A	JAPAN
Y	JORDAN
Y	KAZAKHSTAN
Y	KENYA
A	KIRIBATI
Y	KUWAIT
Y	KYRGYZSTAN
Y	LAO PEOPLES DEMOCRATIC REPUBLIC 
A	LATVIA
Y	LEBANON
Y	LESOTHO
NV	LIBERIA
Y	LIBYA
Y	LIECHTENSTEIN
A	LITHUANIA
Y	LUXEMBOURG
Y	MADAGASCAR
Y	MALAWI
Y	MALAYSIA
Y	MALDIVES
Y	MALI
Y	MALTA
N	MARSHALL ISLANDS 
Y	MAURITANIA
Y	MAURITIUS
Y	MEXICO
N	MICRONESIA (FEDERATED STATES OF) 
A	MONACO
Y	MONGOLIA
Y	MONTENEGRO
Y	MOROCCO
Y	MOZAMBIQUE
Y	MYANMAR
Y	NAMIBIA
N	NAURU
Y	NEPAL
A	NETHERLANDS
Y	NEW ZEALAND 
Y	NICARAGUA
Y	NIGER
Y	NIGERIA
A	NORTH MACEDONIA 
Y	NORWAY
Y	OMAN
Y	PAKISTAN
A	PALAU
A	PANAMA
N	PAPUA NEW GUINEA
N	PARAGUAY
Y	PERU
A	PHILIPPINES
A	POLAND
Y	PORTUGAL
Y	QATAR
A	REPUBLIC OF KOREA
A	REPUBLIC OF MOLDOVA
A	ROMANIA
Y	RUSSIAN FEDERATION 
NV	RWANDA
Y	SAINT KITTS AND NEVIS 
Y	SAINT LUCIA 
Y	SAINT VINCENT AND THE GRENADINES
NV	SAMOA
A	SAN MARINO 
NV	SAO TOME AND PRINCIPE 
Y	SAUDI ARABIA 
Y	SENEGAL
A	SERBIA
NV	SEYCHELLES
Y	SIERRA LEONE 
Y	SINGAPORE
A	SLOVAKIA
Y	SLOVENIA
Y	SOLOMON ISLANDS 
Y	SOMALIA
Y	SOUTH AFRICA 
A	SOUTH SUDAN 
Y	SPAIN
Y	SRI LANKA 
Y	SUDAN
Y	SURINAME
A	SWEDEN
Y	SWITZERLAND
Y	SYRIAN ARAB REPUBLIC
Y	TAJIKISTAN
Y	THAILAND
Y	TIMOR-LESTE
NV	TOGO
N	TONGA
Y	TRINIDAD AND TOBAGO
A	TUNISIA
NV	TURKMENISTAN
A	TUVALU
Y	TURKIYE
Y	UGANDA
A	UKRAINE
Y	UNITED ARAB EMIRATES
A	UNITED KINGDOM 
Y	UNITED REPUBLIC OF TANZANIA 
N	UNITED STATES 
A	URUGUAY
Y	UZBEKISTAN
A	VANUATU
NV	VENEZUELA REPUBLIC OF)
Y	VIET NAM 
Y	YEMEN
A	ZAMBIA
Y	ZIMBABWE
