"articleid","text"
"20220707183000_tra_A0000429","began to form several units of warrior warriors from the region ’ s inhabitants . the “ lifting ” in the amount of 100 thousand rubles will receive a contract for the service in these units , the head of the region alexander moor said in his telegram channel .  russias special operation ivan shilov ( c ) ia regnum “ service in the same system with fellow countrymen has many advantages . i am sure that such a team is more cohesive and people in it treat each other more responsibly . because in the unit they find common acquaintances"
"20220517020000_tra_A0001282","rakyat mind - advisor of mayor vadym boychenko , petro andryushchenko said he had offered money to his people , as long as on condition . this condition , explained petro andryushchenko , was to blame the volodymy  zelensky forces for the destruction of the city and the deaths of residents there . in the telegram upload petro andryushchenko said he wanted to give a compensation as long as the residents submitted a written statement containing troops responsible for damage to the house and the death of their family"
"20220313144500_tra_A0000203","closer than munichies own brittle history continues to shape the russia image in the east : the victory of the soviet army over nazi germany , the first flight to the space , also decades of anti-americanism . gdr citizens made holiday in the soviet union , learned the unloved  russian - and were moscow just closer than munich . michail gorbachev also looked positive , : the gorbi popular to this day left the peaceful revolution in eastern europe and the german unity . thereafter , there were disappointments about the west - in russia about the loss of pride"
"20220524070000_tra_A0001599","for the development einstein , naked weapons , the bed pishtov 33 1/3 . the ex-wife of elvis presley is a businesswoman who has turned graceland ( the elvis presley museum house ) into one of the largest tourist attractions in the world ruslana ( ruslana stepani lizichko ) ,  ukrainian singer , dancer , composer , conductor , pianist and producer who won the world music awards ( word music awards ) and winner of the eurovision 2004 song contest ."
"20180101204500_tra_A0000896","a month in 2017 , according to your calculations . the ngo , based in london and has a network of volunteers throughout the country , added that more than 65 % of the civilian victims lost their lives in aerial bombings launched by \aircraft of the syrian regime and  russia \ '' against several areas from the country . the observatory specified in a statement that 178 of the deceased in december were minors and that 130 were women . of the total civilians , 66 died in artillery attacks , missiles and projectiles of the loyal forces to damascus"
"20220930073000_tra_A0001851","attend the ceremony in one of the largest premises of the kremlin-the solemn georgiev hall . the russian leader will hold a big speech during the event . even before he invaded ukraine , putin recognized dpr and lnr as independent . however , the law on acceptance in the  russian federation requires in a similar way moscow first recognizes kherson and zaporozha region as independent countries and clearly indicate exactly what limits , since not everything is occupied there . the president then signed interstate treaties whose legality of the constitutional court in the country should rule ."
"20230404201500_tra_A0002155","in the event of the courts disagreement with the  russian group polair indirectly managed in the baltic states for refrigerators production company snaige restructuring plan , the companys ceo mindaugas sologubas says that the lithuanian company operating for more than 50 years will cease to exist . the kaunas district court on tuesday did not approve the companys replaced restructuring"
"20221013113000_tra_A0001940","europe has firmly decided to gradually suspend the imports of russian gas due to the invasion of  russia in ukraine , which widely opened the door to american suppliers . the willingness to build a terminal and other infrastructure shows that demand for american exports could last . we have noticed a strong increase in the demand of european customers , so we adapt to that , he"
"20220310103000_eng_A0000664","sanzioni alla russia ” .sulla porta dell ’ ufficio di strasburgo dell ’ eurodeputata ex leghista sono stati rinvenuti dalle collaboratrici dell ’ eurodeputata due adesivi : il primo avverte in tedesco achtung russia ! con le due esse con che rievocano il simbolo dei pretoriani di hitler e un  putin  stilizzato in versione teschio mentre il secondo è una bandiera ucraina con un serpente e la scritta in ucraino “ vai a farti fottere ” , un richiamo alla ormai celebre risposta dei marinai ucraini dell ’ isola dei serpenti alla nave da guerra russa che intimava la resa. “"
"20221005154500_tra_A0001062","that in the near future all the staff of the station will be employed to the state of the new operating organization with salary . it should be noted that energoatom stated that rosatoms decision on the establishment of the operation organization of the ospu with a legal address in  moscow. before that , putin also signed the laws on the so -called . receive and important reports of russias war against ukraine read on the channel ."
"20220101224500_tra_A0000173","the holocaust in ukraine , the embassy said . diplomats stressed that they require a thorough investigation into the anti-semitic manifestations that took place during the march . it is specified that we are talking about the law adopted in ukraine last year . earlier it was reported that in  kyiv  ukrainian nationalists participating in the torch procession on the occasion of the 113rd anniversary of the birth of stepan bandera . it is one of the ideologues of ukrainian nationalism . during the great patriotic war , he collaborated with nazi germany ."
"20221202144500_tra_A0002501","cruise missiles aimed at military targets in ukraine is about to happen . the image of the aircraft concentrated at the engels air base was recorded by the satellite . photo : twitter , however , has very little data showing that russia will use ukrainian strategic bombers . both  russia and ukraine have not yet commented on the above information . russias tu-95 bomber . photo : wikipedia tu-95 ( nato identified as bear ) is a heavy strategic bomber manufactured and manufactured by tupolev . the tu-95 was put into the soviet army in 1956 and became an important"
