"articleid"	"text"	"source_name"	"language"	"iso3"
"20230426131500_tra_A0003565"	"world in milan . representatives of large , small and medium -sized businesses in the field of optics and equipment demonstrated their products , innovative technologies , and discussed the future of the field . the exhibition showed that the optical and ophthalmic industries are dynamically moving forward and that  ukraine can not only reach for leading european companies and follow the world trends , but also set trends itself . the world trends of the optometric and ophthalmic spheres are one of the key world trends in optometry and ophthalmology is dodyzhitization and digital transformation . companies are looking for"	"epravda.com.ua"	"ukr"	"UKR"
"20180402091500_tra_A0002395"	"no one knows her only 16 years old . on the social networking website , netizens said they could n't believe her age . someone commented : \is it really 16 years old ? is n't it 26 years old ? \ '' some people say : \ '' the  russian girl will be too fast ? \ '' let 's appreciate the other photos : this red dress photo , attracted photos of this red dress many netizens are praise. ``"	"huanqiu.com"	"zho"	"CHN"
"20220429030000_tra_A0000077"	"according to the center for hygienic education of the population of rospotrebnadzor , in  russia , cholera epidemics have not been registered since 1985 , but over the past 10 years , isolated devastated cases have been noted almost annually . in the world , there are more messages about the hollow : according to who , in 2020 , 323,369 cases were reported in"	"ngs.ru"	"rus"	"RUS"
"20220415044500_tra_A0000383"	"leaders of the guerrillas of the national liberation army . on may 29 , presidential elections are held in colombia . duke can not look for re-election . when asked the president about presumed interference from russia , he replied that those risks are . the colombian authorities detained a  russian citizen for supposedly to finance last years protests . clearly we also in colombia we have been shrinking that we are not going to allow flights or manipulations from outside , pretending to influence the elections and we have strengthened our intelligence quite effectively , especially to face this type"	"listindiario.com"	"spa"	"VIR"
"20220327001500_eng_A0000306"	"sanctions against russian oligarchs , banks and businesses could be lifted if vladimir putin ends his invasion of  ukraine and commits to “ no further aggression ” , liz truss has said . the foreign secretary said in an interview published on sunday that the threat of “ snapback sanctions ” would be retained if the russian president did attack again . ms truss told the sunday telegraph that"	"echo-news.co.uk"	"eng"	"PAN"
"20190802154500_tra_A0003109"	"rates that have a range of 500 - 5500 kilometers and are fired from the mainland . russia and the united states fulfillment of infs have suspended this year when they mutually accused her violation . washington more earlier tasted that from the inf definitively withdraws on 2 august if  russia does not dispose of his new rocket system . russian president vladimir putin on 3 july signed a law on the suspension of the fulfillment of contract inf by moscow . russia has announced this step on february 2 after the end of january has also made the united states"	"teraz.sk"	"slk"	"SVK"
"20230130133000_tra_A0001594"	"growth . many institutions have lowered the forecast of global economic growth this year , and some major economies are more likely to be trapped in economic recession . furthermore , the situation of geopolitical tensions still has potential destructive power . the energy crisis caused by the tension of  russia and ukraine , and the trade relationship between major economies , may further affect global economic growth and heat up risk . * foreign exchange fund is still based on the principle of preservation of capital , long -term value -added . * he mentioned that on the other hand"	"etnet.com.hk"	"zho"	"MNG"
"20230103114500_tra_A0001758"	"and russia one is sure to do : we will speak less publicly , cohen said characteristically , implying that israel will undermine criticism to the russian side , which marked last year . although israel will continue , as he pointed out , the mission of humanitarian aid to  ukraine , the new government will develop a responsible policy on the issue of the ukrainian war , which is to be discussed in detail under the council of ministers . and to no doubt , cohen explicitly said that israels goal is to improve relations with russia , while heralded"	"capital.gr"	"ell"	"CYP"
"20220927123000_tra_A0002298"	"rare speech to the nation earlier this week , putin said that his country had a variety of devastating slaves in his hands . we will use all the weapons in our hands , he said . in that speech , putin also announced the reserve troops to fight in  ukraine . he said that those who have taken compulsory military training will be summoned , he said . you can also write ttn reader online news portal jagonews24 . the subject of writing is feature , travel , lifestyle , carrier , information technology , agriculture and nature . send"	"jagonews24.com"	"ben"	"BGD"
"20221223180000_tra_A0000888"	"lives in the shadow of war . the street player played the saxophone emmanuelelle on the pedestrian street in odessa under christmas . in the case , bad power outages have been plagued by the black sea port city odessa since the beginning of december . at that time ,  russia struck kamikaze droons in the citys vital electricity distribution centers . the oil refineries in the hundred , on the other hand , are important sources of energy for the whole ukraine , and they are also the subject of russian attacks . however there is no shortage of food"	"yle.fi"	"fin"	"FIN"
"20220203204500_tra_A0000400"	"his speech is planned during a jazz festival in lviv . pewing plans to visit  ukraine this summer / photo : grammy devise to a famous american singer , the author of john legend songs ( present name john roger stevens ) for the first time in ukraine . the performance will be held as part of the international jazz open-air festival which takes place in"	"unian.net"	"rus"	"UKR"
"20211203130000_tra_A0000789"	"/ /ria.ru/docs/about/copyright.htmlhtttpps : //xn -- c1acbl2abdlkab1og.xn -- p1ai/ria newsinternet-group @ rian.ru7 495 645-6601fhup mia russia today https : // xn - c1acbl2abdlkab1og .xn - p1ai / awards / ria novostiinternet-group @ rian.ru7 495 645-6601fgup mia russia today https : //xn -- c1acbl2abdlkab1og.xn -- p1ai/awards/ria newsinternet-group @ rian.ru7 495 645-6601fgup mia  russia today https : //xn -- c1acbl2abdlkab1og.xn -- p1ai/awards/sankthersburg , nina urgant , nina urgantmoskawa died , 3 dec - ria novosti . in the 93th of his life , the peoples artist of the rsfsr died , the representative said ria novosti . nina urgant died on december 3 ,"	"ria.ru"	"rus"	"UZB"
"20220929140000_tra_A0002142"	"by poland and the three baltic countries ( estonia , latvia and lithuania ) , the other four eu states that have border with russia , according to agerpres . the measure was in question in finland just before vladimir putins military order , due to the large number of  russian tourists who entered the schengen area through finland . however , the helsinki authorities did not announce his future entry in force until the evening of the announcement of partial mobilization in russia . the decision aims to completely prevent the current russian tourism situation in finland and the associated"	"stirileprotv.ro"	"ron"	"MDA"
"20220402141500_tra_A0001550"	"32 days ago , is standing in many areas and the russian goal of surrounding capital and forcing its surrender has faced strong resistance from the ukrainian army . on saturday , vladimir putin warned that russia will consider any country that tries to impose an air exclusion zone in  ukraine . the ukrainian authorities also reported that at least 1,684 wounded , including 116 children ."	"wort.lu"	"por"	"LUX"
"20220512073000_tra_A0000019"	"for the world order with the barbaric war against ukraine , and its disturbing pact with china . united nations security is also due to meet on thursday at the request of france and mexico , to examine the situation in ukraine . the european union is also preparing a  russian oil embargo which could be announced in the coming days . in vienna , un secretary general antonio guterres called on wednesday to maintain contact with russia to save lives in ukraine and prepare for peace , even if no peaceful regulations are currently looming . return to the war"	"elle.fr"	"fra"	"BFA"
"20220108124500_tra_A0000152"	"relationships were a little more complicated . there are also several german stars . daniel brühl shines as jan erik hanussen , who influences emperor wilhelm . hanussen was a famous high stacker , who later cooperated with the national socialists , despite jewish roots . august diehl plays the  russian revolutionary guide lenin , of course a rogue . alexandra maria lara is in a small role to see . and a very special short presence leaving a lasting impression , david kross has . it is worth it to stay at the credits in the cinema chair . prequels"	"vienna.at"	"deu"	"BGR"
"20220116080000_tra_A0000210"	"tv host and journalist mikhail zelensky , who died in the dominican republic , will be transported to russia on january 17th . this was announced by the friend of the late , director nikolai sergeyev . according to the words of the comrade , all information on farewell to  zelensky will appear on january 18 , on tuesday . sergeev said that he learned about it from the widow of the tv presenter . given that on monday , misha is transported , probably on tuesday there will be verified information , the director suggested . a journalists friend added"	"riafan.ru"	"rus"	"BLR"
"20220201173000_tra_A0000486"	"search for search . the investigation could have established all the facts , received permission to inspect deposits , warehouses and production facilities , as well as to conduct searches of administrative buildings . they were carried out on the basis of the resolution of the pechersk district district of  kiev. sbu students were attracted on behalf of the prosecutors office . the criminal case was initiated under the article on tax evasion . this was preceded by metinvest on february on february 1 , he declared search in the enterprise in krivoy rog . it was noted that temporarily suspended"	"24tv.ua"	"rus"	"BEL"
"20220422001500_tra_A0001165"	"faith and one of the most joyous and most important holidays . but we keep hope . hope for peace , hope that life will defeat death , wrote zelenous in the description of the recording . ukrainians , ukrainians , our veterans . today is an important day for  ukraine , for our foreign policy . the premiere of spain and denmark , two countries that constantly support ukraine , came to kyiv , zeleni said . thank you , he added . then he reiterated that he was calling for all european countries to tighten sanctions on russia ."	"index.hr"	"bos"	"HRV"
"20211215191500_eng_A0000018"	"photographed socialising together at the miss universe pageant , during the israel-hezbollah war . a pr disaster was averted , but it was lucky for both beauty queens that it was pre-social media age and the issue could be controlled.more recently , miss universe 2013 , which was held in  moscow, caused a stir when the host country refused to invite contestants from kosovo , a state unrecognised by the russian government.this event was further marred when gay us tv personality andy cohen refused to host the ceremony due to russia ’ s anti-lgbt stance , and attracted further negative headlines"	"euronews.com"	"eng"	"IRL"
"20221221163000_tra_A0002083"	"president vladimir putin says his belief is that russia is not responsible for the  ukraine war , but both countries are the victims of misfortune . russia still considers ukraine to be a fraternal country . he said this in a meeting with senior officials of the army on wednesday . putin claims that the conflict with ukraine is the result of the policy of"	"risingbd.com"	"ben"	"BGD"
"20230728194500_tra_A0000232"	"15 , said friday , deputy prime minister jaroslaw kaczynski . tasr reports on the basis of a report of the agency pap . some eastern european , respectively central european eu member states - poland , slovakia , hungary , romania and bulgaria - have concluded their market for  ukrainian wheat , corn and sunflower for the protection of its own agricultural sector by mid -september . the transit of ukrainian agricultural products to third countries does not apply to import . however , pap recalls that a large number of grain , instead of transit to other countries ,"	"cas.sk"	"slk"	"SVK"
"20211026133000_tra_A0000772"	"russian stock indexes vary in different direction on tuesday , playing ambiguous signals from foreign capital markets . thus , trading on asian exchanges today ended without a single dynamics , including chinese markets decreased against the background of continued problems in the real estate sector of the subway . a"	"1prime.ru"	"rus"	"AZE"
"20220311083000_tra_A0001908"	"it is a result of only speculation on the gas market , the prime minister took place at the summit . objective the detoxification from russian gas at the heart of the 27 discussions found energy autonomy of the eu , as there are sought ways of direct reduction in  russian gas . a move that will give a new powerful blow to vladimir putin . european leaders are decisive to turn to liquefied gas market ( lng ) until the framework for the operation of renewable energy sources is created . however , a thorn is the lack of liquefied"	"thetoc.gr"	"ell"	"GRC"
"20220317163000_tra_A0001108"	"russias sanctions give a rare opportunity to learn about these assets . it is known how much money  russians are hiding in switzerland / photo reutersau banks of switzerland russians keep up to 213 billion dollars . this assets managed to find out due to sanctions on russia . on this , it writes to the scores of the swiss banking association ( sba ) , banks hold on"	"unian.ua"	"ukr"	"UKR"
"20180101204500_tra_A0000896"	"a month in 2017 , according to your calculations . the ngo , based in london and has a network of volunteers throughout the country , added that more than 65 % of the civilian victims lost their lives in aerial bombings launched by \aircraft of the syrian regime and  russia \ '' against several areas from the country . the observatory specified in a statement that 178 of the deceased in december were minors and that 130 were women . of the total civilians , 66 died in artillery attacks , missiles and projectiles of the loyal forces to damascus"	"elnuevodiario.com.do"	"spa"	"DOM"
"20230520121500_tra_A0001384"	"the g7 leaders gathered in hiroshima urged china on saturday to press on russia to cease their aggression against  ukraine , informs france presse , taken over by agerpres . the leaders of g7 and other countries met in hiroshima for a three-day epefe photo summit we are ready to build constructive and stable relations with china , the head and government heads of those said in a joint statement"	"adevarul.ro"	"ron"	"ROU"
